start,end,trips,start_lat,start_long,end_lat,end_long,dist_miles,width
94975,95404,49,38.2324,-122.6367,38.4405,-122.7144,14.982274,1
95492,95446,49,38.5443,-122.8073,38.5055,-122.9965,10.572596,1
94952,94927,48,38.2403,-122.6777,38.3396,-122.7011,6.9773349,1
95448,95442,48,38.6184,-122.862,38.3662,-122.5196,25.42644,1
94954,94953,47,38.2507,-122.6155,38.2324,-122.6367,1.709462,1
94955,94931,47,38.2324,-122.6367,38.3259,-122.7048,7.4416021,1
95403,94927,47,38.4822,-122.7473,38.3396,-122.7011,10.165242,1
95416,94928,47,38.3141,-122.4843,38.347,-122.6941,11.596136,1
94931,94951,46,38.3259,-122.7048,38.3153,-122.6483,3.1490695,1
94923,95407,45,38.3309,-123.0373,38.4089,-122.7339,17.296366,1
94928,95446,45,38.347,-122.6941,38.5055,-122.9965,19.694027,1
94952,95436,45,38.2403,-122.6777,38.4923,-122.9042,21.300677,1
95442,95492,45,38.3662,-122.5196,38.5443,-122.8073,19.842878,1
95436,95446,44,38.4923,-122.9042,38.5055,-122.9965,5.0736595,1
95441,94928,44,38.7173,-122.8834,38.347,-122.6941,27.55516,1
95472,94923,44,38.3941,-122.8433,38.3309,-123.0373,11.381185,1
94954,95436,43,38.2507,-122.6155,38.4923,-122.9042,22.87404,1
95405,95446,43,38.4386,-122.6727,38.5055,-122.9965,18.115267,1
95409,94931,43,38.4592,-122.6393,38.3259,-122.7048,9.8695637,1
95444,95407,43,38.4335,-122.8676,38.4089,-122.7339,7.434367,1
94953,95401,42,38.2324,-122.6367,38.4432,-122.7547,15.906943,1
94954,94927,42,38.2507,-122.6155,38.3396,-122.7011,7.6990368,1
95402,94931,42,38.4399,-122.7096,38.3259,-122.7048,7.880928,1
95406,95409,42,38.4399,-122.7096,38.4592,-122.6393,4.0309534,1
95407,95402,42,38.4089,-122.7339,38.4399,-122.7096,2.5135346,1
94955,95472,41,38.2324,-122.6367,38.3941,-122.8433,15.819945,1
95405,95441,41,38.4386,-122.6727,38.7173,-122.8834,22.368017,1
95436,95448,41,38.4923,-122.9042,38.6184,-122.862,9.0060843,1
95473,94952,41,38.4022,-122.8227,38.2403,-122.6777,13.671533,1
95404,95473,40,38.4405,-122.7144,38.4022,-122.8227,6.432076,1
95409,95441,40,38.4592,-122.6393,38.7173,-122.8834,22.176718,1
95446,95405,40,38.5055,-122.9965,38.4386,-122.6727,18.115267,1
95405,95402,39,38.4386,-122.6727,38.4399,-122.7096,1.9989943,1
95472,95441,39,38.3941,-122.8433,38.7173,-122.8834,22.435824,1
95409,95442,38,38.4592,-122.6393,38.3662,-122.5196,9.1260386,1
95441,94954,38,38.7173,-122.8834,38.2507,-122.6155,35.345269,1
95444,95403,38,38.4335,-122.8676,38.4822,-122.7473,7.3271051,1
94923,95465,37,38.3309,-123.0373,38.4087,-122.9954,5.8350091,1
94975,95403,37,38.2324,-122.6367,38.4822,-122.7473,18.270148,1
95407,95444,37,38.4089,-122.7339,38.4335,-122.8676,7.434367,1
95441,94952,37,38.7173,-122.8834,38.2403,-122.6777,34.784847,1
95442,95416,37,38.3662,-122.5196,38.3141,-122.4843,4.076503,1
95473,95436,37,38.4022,-122.8227,38.4923,-122.9042,7.6291609,1
94923,94952,36,38.3309,-123.0373,38.2403,-122.6777,20.482391,1
94953,95403,36,38.2324,-122.6367,38.4822,-122.7473,18.270148,1
94954,95441,36,38.2507,-122.6155,38.7173,-122.8834,35.345269,1
95407,94927,36,38.4089,-122.7339,38.3396,-122.7011,5.1071675,1
95407,95473,36,38.4089,-122.7339,38.4022,-122.8227,4.8302063,1
